,n__fc__x,n__tc__x,n__fc__rw7,n__tc__rw7,n__fc__rw30,n__tc__rw30,n__fc__rw90,n__tc__rw90,duration_in__fc__rw7,target
108,-0.32435348190568236,0.4775295668856714,-1.0,-0.47211645390843004,-1.0,-0.1253502732797186,-0.7878268803130803,0.2847242895943547,-1.0,False
109,-0.32435348190568236,0.47821474678534104,-1.0,-0.7360582269542151,-1.0,-0.3216882589721143,-0.7878268803130803,0.20237895567756659,-1.0,False
110,-0.32435348190568236,0.4726800884387703,-1.0,-0.31772041430279185,-0.7523776572625627,0.02869477525057218,-0.7878268803130803,0.2690406619784813,-1.0,False
111,-0.32435348190568236,0.4726800884387703,-1.0,-0.2590217643033045,-0.7523776572625627,0.07941725939131183,-0.7878268803130803,0.26633730234701813,-1.0,False
112,-0.32435348190568236,0.4754627070346522,-1.0,-0.387146181750608,-0.7523776572625627,-0.018893540069031878,-0.7878268803130803,0.2795953779641289,-1.0,False
113,-0.32435348190568236,0.4754627070346522,-1.0,-0.5816621873485768,-1.0,-0.06011641384683519,-0.7878268803130803,0.2795953779641289,-1.0,False
114,-0.32435348190568236,0.4795795081853049,-1.0,-0.5816621873485768,-1.0,-0.399272284360778,-0.7878268803130803,0.15372049102680352,-1.0,False
115,-0.32435348190568236,0.4775295668856714,-1.0,-1.0,-1.0,-0.20816684727905166,-0.7878268803130803,0.21901367188198284,-1.0,False
116,-0.32435348190568236,0.4802591099513729,-1.0,-0.7360582269542151,-1.0,-0.5031456303010358,-0.7878268803130803,0.10451135185791904,-1.0,False
117,-0.32435348190568236,0.47821474678534104,-1.0,-0.7360582269542151,-1.0,-0.3216882589721143,-0.7878268803130803,0.20237895567756659,-1.0,False
118,-0.32435348190568236,0.48228691938787427,-1.0,-1.0,-1.0,-0.5031456303010358,-1.0,-0.1060148558009597,-1.0,False
119,-0.32435348190568236,0.47821474678534104,-1.0,-0.7360582269542151,-1.0,-0.2891621004953606,-0.7878268803130803,0.2057875558226594,-1.0,False
120,-0.32435348190568236,0.48228691938787427,-1.0,-0.7360582269542151,-1.0,-0.44686059968038205,-0.7878268803130803,-0.03240622697718332,-1.0,False
121,-0.32435348190568236,0.4775295668856714,-1.0,-1.0,-1.0,-0.20816684727905166,-0.7878268803130803,0.22222293399936732,-1.0,False
122,-0.32435348190568236,0.4726800884387703,-1.0,-0.31772041430279185,-0.7523776572625627,0.0058166825266234845,-0.7878268803130803,0.2690406619784813,-1.0,False
123,-0.32435348190568236,0.4754627070346522,-1.0,-0.5816621873485768,-0.7523776572625627,-0.018893540069031878,-0.7878268803130803,0.27436876692640055,-1.0,False
124,-0.32435348190568236,0.4663037952758935,-1.0,-0.20817468086264512,-0.7523776572625627,0.09758208533818613,-0.7878268803130803,0.24369445907940546,-1.0,False
125,-0.32435348190568236,0.4802591099513729,-1.0,-0.7360582269542151,-1.0,-0.5031456303010358,-0.7878268803130803,0.08417695556272053,-1.0,False
126,-0.32435348190568236,0.48228691938787427,-1.0,-0.5816621873485768,-1.0,-0.44686059968038205,-0.7878268803130803,0.005240221791025013,-1.0,False
127,-0.32435348190568236,0.47821474678534104,-1.0,-0.7360582269542151,-1.0,-0.3216882589721143,-0.7878268803130803,0.20237895567756659,-1.0,False
128,-0.32435348190568236,0.48228691938787427,-1.0,-1.0,-1.0,-0.5031456303010358,-1.0,-0.07605179496635384,-1.0,False
129,-0.32435348190568236,0.47889805716045175,-1.0,-0.7360582269542151,-1.0,-0.3580494105829748,-0.7878268803130803,0.18467030940135754,-1.0,False
130,-0.32435348190568236,0.4802591099513729,-1.0,-1.0,-1.0,-0.5031456303010358,-0.7878268803130803,0.05053625360199532,-1.0,False
